"input__destination","input__duration","input__interests__001","input__interests__002","input__interests__003","input__interests__004","input__interests__005","output__optimized_itinerary__state","output__optimized_itinerary__days__day","output__optimized_itinerary__days__morning","output__optimized_itinerary__days__afternoon","output__optimized_itinerary__days__evening"
"","","","","","","","","5","After breakfast, disembark from the houseboat. Travel to Varkala or Marari beach.","Relax on the beach. In Varkala, explore the cliff-top shops and cafes.","Enjoy a seafood dinner watching the sunset over the Arabian Sea."
"","","","","","","","","6","Enjoy a final swim or an Ayurveda massage.","Travel to Trivandrum (TRV) or Kochi (COK) airport for departure.","Departure."
"Goa - North & South Explorer","6","Beach","Nightlife","History","Food","Adventure","Goa","1","Arrive in North Goa. Check into a hotel in Calangute/Baga.","Relax at Calangute Beach and try some water sports.","Explore the vibrant nightlife at Tito's Lane in Baga."
"","","","","","","","","2","Visit Fort Aguada for panoramic views.","Explore the beaches of Candolim and Sinquerim.","Enjoy a sunset dinner at a beach shack."
"","","","","","","","","3","Visit the bohemian Anjuna Beach and its famous Flea Market (Wednesday only).","Explore the scenic Vagator Beach and climb up to Chapora Fort ('Dil Chahta Hai' Fort).","Experience the party scene at a club in Vagator."
"","","","","","","","","4","Travel to South Goa. En route, explore the historical sites of Old Goa (UNESCO World Heritage).","Visit the Basilica of Bom Jesus and Se Cathedral.","Check into a resort in South Goa (e.g., Colva, Benaulim)."
"","","","","","","","","5","Relax on the pristine and quiet Colva or Benaulim Beach.","Visit the beautiful Palolem Beach, known for its crescent shape.","Try a silent disco in Palolem or enjoy a quiet dinner."
"","","","","","","","","6","Visit the secluded Butterfly Beach (by boat) or Agonda Beach, a turtle nesting site.","Enjoy a final Goan meal.","Departure from Goa (GOI) airport."
"Himachal - Mountains & Valleys","6","Nature","Adventure","Photography","Culture","","Himachal Pradesh","1","Arrive in Manali. Check-in and acclimatize.","Visit Hadimba Devi Temple, a unique wooden temple.","Explore the cafes and market of Old Manali."
"","","","","","","","","2","Day trip to Solang Valley for adventure sports.","Enjoy paragliding, zorbing, or take the ropeway for stunning views.","Walk along the Manali Mall Road."
"","","","","","","","","3","Excursion to Rohtang Pass (subject to permits and weather).","Enjoy the snow and spectacular mountain scenery. Alternatively, visit the Atal Tunnel and Sissu.","Relax by the Beas River."
"","","","","","","","","4","Travel to Kasol in Parvati Valley (approx. 2-3 hours).","Check-in and explore the riverside town.","Enjoy Israeli cuisine at a local cafe."
"","","","","","","","","5","Trek to the serene village of Chalal.","Visit Manikaran Sahib Gurudwara and its hot springs.","Relax in Kasol or explore the village of Tosh for breathtaking views."
"","","","","","","","","6","Enjoy a final breakfast in the mountains.","Travel to Bhuntar (KUU) airport or begin the bus journey back.","Departure."
"Jammu & Kashmir - Paradise on Earth","6","Nature","Photography","Culture","Food","","Jammu & Kashmir","1","Arrive in Srinagar. Transfer to a houseboat on Dal Lake.","Enjoy a relaxing Shikara ride on the lake.","Explore the floating markets and watch the sunset over the lake."
"","","","","","","","","2","Visit the Mughal Gardens: Nishat Bagh, Shalimar Bagh, and Chashme Shahi.","Explore Shankaracharya Temple for a panoramic view of Srinagar.","Walk around the old city and try some local Kashmiri snacks."
"","","","","","","","","3","Day trip to Gulmarg, the 'Meadow of Flowers' (approx. 2 hours).","Take the Gulmarg Gondola ride (Phase 1 & 2) for breathtaking Himalayan views.","Return to Srinagar."
"","","","","","","","","4","Travel to Pahalgam, the 'Valley of Shepherds' (approx. 3 hours).","Check-in and explore the town. Visit the main Pahalgam valley.","Relax by the Lidder River."
"","","","","","","","","5","Hire a local vehicle to visit Aru Valley and Betaab Valley.","Explore Chandanwari, the starting point for the Amarnath Yatra.","Return to Pahalgam and enjoy a peaceful evening."
"","","","","","","","","6","Enjoy a final Kashmiri breakfast.","Travel back to Srinagar (SXR) airport for departure.","Departure."
"Karnataka - Heritage Trail","5","History","Architecture","Photography","Culture","","Karnataka","1","Arrive at Hubli (HBX) airport or Hospet (HPT) railway station. Travel to Hampi.","Check-in. Explore the Virupaksha Temple and Hemakuta Hill for sunset.","Walk through Hampi Bazaar."
"","","","","","","","","2","Explore the Royal Centre: Lotus Mahal, Elephant Stables, and Stepped Tank.","Visit the iconic Vittala Temple Complex with its Stone Chariot and musical pillars.","Enjoy a coracle ride on the Tungabhadra River."
"","","","","","","","","3","Travel to Badami (approx. 3-4 hours).","Explore the Badami Cave Temples and the Agastya Lake.","Climb up to the Badami Fort for views of the town."
"","","","","","","","","4","Day trip to Pattadakal, a UNESCO World Heritage site with a stunning collection of temples.","Explore Aihole, known as the 'Cradle of Indian Architecture', with over 100 temples.","Return to Badami."
"","","","","","","","","5","Revisit any favorite spot or shop for local handicrafts.","Travel back to Hubli (HBX) for departure.","Departure."
"Tamil Nadu - Temple & Coastal Tour","6","Spiritual","History","Culture","Food","Photography","Tamil Nadu","1","Arrive in Madurai. Check-in and visit the Thirumalai Nayakkar Palace.","Explore the magnificent Meenakshi Amman Temple.","Witness the night ceremony at the temple."
"","","","","","","","","2","Travel to Rameswaram (approx. 3-4 hours).","Visit Ramanathaswamy Temple and take a dip in the 22 holy wells (tirthas).","Walk on the Pamban Bridge and visit APJ Abdul Kalam's memorial."
"","","","","","","","","3","Visit the ghost town of Dhanushkodi and see the 'Ram Setu' point.","Travel to Kanyakumari (approx. 5-6 hours), the southernmost tip of India.","Witness the spectacular sunset over the confluence of three seas."
"","","","","","","","","4","Wake up early to see the sunrise. Visit the Vivekananda Rock Memorial and Thiruvalluvar Statue.","Travel to Thanjavur (Tanjore) (long journey, approx. 7 hours).","Check-in and rest in Thanjavur."
"","","","","","","","","5","Visit the Brihadeeswarar Temple (Big Temple), a UNESCO World Heritage site.","Explore the Thanjavur Maratha Palace, art gallery, and Saraswathi Mahal Library.","Shop for Tanjore paintings and bronze statues."
"","","","","","","","","6","Travel to Tiruchirappalli (Trichy) (approx. 1.5 hours). Visit Sri Ranganathaswamy Temple.","Explore Rockfort Temple.","Departure from Trichy (TRZ) airport."
"Uttar Pradesh - Heritage Arc","6","History","Spiritual","Culture","Food","Architecture","Uttar Pradesh","1","Arrive in Agra. Visit the magnificent Taj Mahal.","Explore the massive Agra Fort.","Visit Mehtab Bagh for a sunset view of the Taj across the river."
"","","","","","","","","2","Day trip to Fatehpur Sikri, the abandoned Mughal capital.","Return to Agra. Explore the Tomb of Itimad-ud-Daulah (Baby Taj).","Enjoy Mughlai cuisine for dinner."
"","","","","","","","","3","Travel to Lucknow (approx. 4-5 hours).","Check-in and visit Bara Imambara and its labyrinth (Bhulbhulaiya).","Embark on a culinary walk in the old city for Tunday Kebabs and other delicacies."
"","","","","","","","","4","Visit the British Residency and Chota Imambara.","Explore Hazratganj for shopping. Try the famous 'basket chaat'.","Take an overnight train or an early morning flight to Varanasi."
"","","","","","","","","5","Arrive in Varanasi. Take a boat ride on the Ganges to see the ghats.","Explore the narrow lanes of the old city and visit Kashi Vishwanath Temple.","Witness the mesmerizing Ganga Aarti ceremony at Dashashwamedh Ghat."
"","","","","","","","","6","Morning trip to Sarnath, where Buddha gave his first sermon.","Explore the Dhamek Stupa and the Sarnath Museum.","Departure from Varanasi (VNS) airport."
"West Bengal - City & Mangroves","5","Culture","History","Nature","Food","Wildlife","West Bengal","1","Arrive in Kolkata. Visit the iconic Victoria Memorial.","Explore St. Paul's Cathedral and walk through the Maidan.","Explore the bustling New Market and have dinner on Park Street."
"","","","","","","","","2","Explore North Kolkata's heritage: Kumortuli (potters' colony) and a tram ride.","Visit Jorasanko Thakur Bari (Tagore's ancestral home) and the Marble Palace.","Enjoy Bengali sweets and street food."
"","","","","","","","","3","Travel from Kolkata to Godkhali (approx. 3-4 hours), the gateway to the Sundarbans.","Board a boat and cruise to your jungle resort, passing through mangrove creeks.","Enjoy a presentation on the Sundarbans and a local cultural performance."
"","","","","","","","","4","Full day boat safari through the Sundarbans National Park.","Visit various watchtowers like Sajnekhali and Sudhanyakhali to spot wildlife like crocodiles, deer, and the elusive Royal Bengal Tiger.","Night stay at the jungle resort."
"","","","","","","","","5","Visit a village to experience the local way of life.","Start your journey back to Kolkata.","Departure from Kolkata (CCU) airport."
"Sikkim - Himalayan Kingdom Tour","6","Nature","Photography","Culture","Spiritual","","Sikkim","1","Arrive at Bagdogra (IXB) airport / NJP station. Travel to Gangtok (approx. 4-5 hours).","Check-in and relax.","Stroll along the pedestrian-only MG Marg."
"","","","","","","","","2","Excursion to Tsomgo Lake (Changu Lake).","Visit Baba Mandir. Optional trip to Nathula Pass (requires permit, closed Mon/Tues).","Return to Gangtok. Try some local Sikkimese food."
"","","","","","","","","3","Gangtok local sightseeing: Rumtek Monastery, Namgyal Institute of Tibetology.","Visit Do-Drul Chorten, Enchey Monastery, and a flower exhibition centre.","Take the ropeway for city views."
"","","","","","","","","4","Travel from Gangtok to Pelling (approx. 4-5 hours).","Check-in and marvel at the stunning views of Mt. Kanchenjunga.","Visit the Pemayangtse Monastery."
"","","","","","","","","5","Pelling sightseeing: Kanchenjunga Falls, Khecheopalri Lake.","Visit the Rabdentse Ruins and the Pelling Skywalk.","Relax and enjoy the mountain tranquility."
"","","","","","","","","6","Enjoy a final Sikkimese breakfast.","Travel back to Bagdogra (IXB) / NJP for departure (approx. 5-6 hours).","Departure."
"Gujarat - White Desert & Heritage","5","Culture","Photography","Nature","History","","Gujarat","1","Arrive in Ahmedabad. Visit the Sabarmati Ashram.","Explore the Calico Museum of Textiles and the Adalaj Stepwell.","Take a heritage walk through the old city's Pols. Overnight train/bus to Bhuj."
"","","","","","","","","2","Arrive in Bhuj. Check-in and visit Prag Mahal and Aina Mahal.","Get permit for the Rann of Kutch. Travel to a resort/tent city near Dhordo.","Witness the spectacular sunset over the white salt desert."
"","","","","","","","","3","Experience the sunrise at the Great Rann of Kutch.","Visit Kalo Dungar (Black Hill) for a panoramic view of the Rann.","Enjoy a local Kutchi cultural program."
"","","","","","","","","4","Explore the Banni grasslands and visit handicraft villages like Nirona (Rogan art) and Hodka.","Learn about the rich craft traditions of the region.","Travel back to Bhuj."
"","","","","","","","","5","Day trip to the coastal town of Mandvi.","Visit the Vijay Vilas Palace and the historic shipbuilding yard.","Relax at Mandvi Beach before departing from Bhuj (BHJ) airport."
"Madhya Pradesh - Temples & Forts","5","History","Architecture","Spiritual","Photography","","Madhya Pradesh","1","Arrive in Khajuraho. Explore the Western Group of Temples (UNESCO World Heritage).","Admire the intricate and famous sculptures.","Attend the spectacular Light and Sound Show."
"","","","","","","","","2","Visit the Eastern and Southern Groups of Temples.","Travel to Orchha (approx. 3-4 hours).","Witness the sunset over the cenotaphs (Chhatris) by the Betwa River."
"","","","","","","","","3","Explore the Orchha Fort complex: Jahangir Mahal, Raja Mahal.","Visit the Ram Raja Temple and the Chaturbhuj Temple.","Relax in the tranquil riverside town."
"","","","","","","","","4","Travel to Gwalior (approx. 2-3 hours).","Explore the massive Gwalior Fort, including Man Singh Palace and the Saas Bahu Temples.","Attend the Sound and Light show at the Man Mandir Palace in the fort."
"","","","","","","","","5","Visit the opulent Jai Vilas Palace Museum.","Explore the Tomb of Tansen and Ghaus Mohammed.","Departure from Gwalior (GWL) airport."
"Maharashtra - Caves, Forts & City","5","History","Architecture","Spiritual","Photography","","Maharashtra","1","Arrive in Aurangabad. Check-in and relax.","Visit the Daulatabad Fort, a formidable hill fortress.","Explore Bibi Ka Maqbara, the 'Taj of the Deccan'."
"","","","","","","","","2","Full day excursion to the Ajanta Caves (UNESCO World Heritage site).","Explore the ancient rock-cut Buddhist cave monuments and admire the beautiful paintings.","Return to Aurangabad."
"","","","","","","","","3","Excursion to the Ellora Caves (UNESCO World Heritage site).","Marvel at the incredible Kailasa Temple (Cave 16), the world's largest monolithic sculpture.","Visit Grishneshwar Jyotirlinga Temple, located near Ellora."
"","","","","","","","","4","Fly from Aurangabad (IXU) to Mumbai (BOM).","Check-in. Visit the Gateway of India and take a ferry ride in the harbour.","Walk along Marine Drive, the 'Queen's Necklace'."
"","","","","","","","","5","Explore colonial Mumbai: Chhatrapati Shivaji Maharaj Terminus (CST), the High Court.","Visit Dhobi Ghat and Haji Ali Dargah.","Explore the bustling markets of Colaba Causeway before departure from Mumbai."
"Odisha - The Golden Triangle","5","Spiritual","History","Beach","Nature","Architecture","Odisha","1","Arrive in Bhubaneswar, the 'Temple City'. Visit the Lingaraj Temple.","Explore other temples like Mukteshwar and Rajarani Temple.","Visit the Udayagiri and Khandagiri Caves."
"","","","","","","","","2","Travel to Puri (approx. 1.5 hours). En route, visit the Dhauli Shanti Stupa.","Check-in and visit the Jagannath Temple (non-Hindus can view from outside).","Relax at Puri Beach and explore the bustling beach market."
"","","","","","","","","3","Travel to Konark (approx. 1 hour). Visit the magnificent Sun Temple (UNESCO World Heritage).","Explore the Chandrabhaga Beach.","Return to Puri. Enjoy the sunset."
"","","","","","","","","4","Day trip to Chilika Lake at Satapada.","Take a boat cruise to see the Irrawaddy dolphins and the sea mouth.","Return to Puri."
"","","","","","","","","5","Visit the artists' village of Raghurajpur, famous for Pattachitra paintings.","Enjoy a final Odia meal.","Travel back to Bhubaneswar (BBI) for departure."
"Punjab - Culture & Faith","5","Spiritual","History","Food","Culture","","Punjab","1","Arrive in Amritsar. Check-in and visit the Golden Temple.","Spend time absorbing the peaceful atmosphere and partake in the Langar (community meal).","Revisit the Golden Temple to see it beautifully illuminated at night."
"","","","","","","","","2","Visit Jallianwala Bagh, a memorial of national importance.","Travel to the Wagah Border to witness the energetic Beating Retreat ceremony.","Enjoy a hearty Punjabi dinner at a traditional dhaba."
"","","","","","","","","3","Visit the Partition Museum.","Go on a food tour to taste Amritsari Kulcha, Lassi, and other local delicacies.","Travel to Chandigarh (approx. 4 hours)."
"","","","","","","","","4","Explore Chandigarh, the planned city by Le Corbusier. Visit the Capitol Complex.","Visit the unique Rock Garden created by Nek Chand.","Enjoy boating at Sukhna Lake and watch the sunset."
"","","","","","","","","5","Visit the Rose Garden and explore the Sector 17 market.","Relax and enjoy the city's green spaces.","Departure from Chandigarh (IXC) airport."
"Uttarakhand - Spiritual & Mountain Retreat","6","Spiritual","Adventure","Nature","Photography","","Uttarakhand","1","Arrive in Haridwar. Take a holy dip in the Ganges at Har Ki Pauri.","Visit Mansa Devi Temple via cable car.","Witness the grand Ganga Aarti ceremony at Har Ki Pauri."
"","","","","","","","","2","Travel to Rishikesh (approx. 1 hour).","Cross the iconic Ram Jhula and Lakshman Jhula bridges.","Attend the Ganga Aarti at Parmarth Niketan and explore local cafes."
"","","","","","","","","3","Experience thrilling white-water rafting on the Ganges.","Visit the Beatles Ashram (Chaurasi Kutia) for a dose of history and art.","Relax by the river."
"","","","","","","","","4","Travel to Mussoorie, the 'Queen of Hills' (approx. 2-3 hours).","Check-in and walk along the Mall Road.","Take the cable car to Gun Hill for sunset views."
"","","","","","","","","5","Visit the beautiful Kempty Falls.","Explore the charming town of Landour, visit St. Paul's Church and Char Dukan.","Enjoy views from Lal Tibba."
"","","","","","","","","6","Enjoy a final breakfast in Mussoorie.","Travel to Dehradun (DED) airport for departure.","Departure."
"Andhra Pradesh - Coast, Hills & Canyon","6","Nature","Photography","History","Beach","Adventure","Andhra Pradesh","1","Arrive in Visakhapatnam (Vizag). Visit the Submarine Museum (INS Kursura) on RK Beach.","Explore Kailasagiri hill park for panoramic city views.","Relax at Rushikonda Beach."
"","","","","","","","","2","Take the scenic train journey from Vizag to Araku Valley.","Arrive in Araku, check-in and visit the Tribal Museum.","Enjoy the pleasant climate and visit a coffee plantation."
"","","","","","","","","3","Explore the magnificent Borra Caves.","Visit Galikonda Viewpoint and the Katiki Waterfalls.","Travel back to Visakhapatnam by road."
"","","","","","","","","4","Take a flight from Vizag (VTZ) to Kadapa (CDP) or travel by overnight train.","Travel from Kadapa to Gandikota (approx. 2-3 hours).","Witness the sunset at the Gandikota canyon ('Grand Canyon of India'). Camp overnight."
"","","","","","","","","5","Explore the Gandikota Fort, Juma Masjid, and Ranganatha Swamy Temple.","Visit the stunning Belum Caves, the second-largest cave system in India.","Return to Gandikota or stay near Belum."
"","","","","","","","","6","Enjoy the morning view at the canyon.","Travel to Kadapa (CDP) or Bengaluru (BLR) for departure.","Departure."
"Telangana - Of Nawabs & Kakatiyas","5","History","Food","Culture","Architecture","","Telangana","1","Arrive in Hyderabad. Explore the Charminar and Laad Bazaar.","Visit the grand Chowmahalla Palace.","Enjoy authentic Hyderabadi Biryani for dinner."
"","","","","","","","","2","Visit the majestic Golconda Fort.","Explore the nearby Qutb Shahi Tombs.","Attend the Sound and Light Show at Golconda Fort."
"","","","","","","","","3","Visit the Salar Jung Museum, which has one of the world's largest one-man collections.","Relax at Hussain Sagar Lake and see the Buddha statue.","Explore the modern side of Hyderabad in Banjara Hills or Jubilee Hills."
"","","","","","","","","4","Day trip to Warangal (approx. 3 hours).","Visit the Warangal Fort, Thousand Pillar Temple, and the Swayambhu Temple.","Return to Hyderabad."
"","","","","","","","","5","Visit Ramoji Film City (requires a full day).","Explore the film sets and attractions.","Departure from Hyderabad (HYD) airport."
"Meghalaya & Assam - Clouds & Culture","6","Nature","Photography","Adventure","Culture","","Assam & Meghalaya","1","Arrive in Guwahati, Assam. Visit the Kamakhya Temple.","Take a cruise on the Brahmaputra River.","Travel to Shillong, Meghalaya (approx. 3 hours). Check-in."
"","","","","","","","","2","Explore Shillong: Ward's Lake and Don Bosco Museum.","Visit Shillong Peak for panoramic views and Elephant Falls.","Explore the cafes and nightlife in Police Bazaar."
"","","","","","","","","3","Travel to Cherrapunji (Sohra).","Visit Nohkalikai Falls, Seven Sisters Falls, and Mawsmai Cave.","Check into a resort in Cherrapunji and enjoy the misty weather."
"","","","","","","","","4","Trek to the famous Double Decker Living Root Bridge in Nongriat village.","Swim in the natural pools. The trek is strenuous and takes a full day.","Return to your resort and relax."
"","","","","","","","","5","Travel to Mawlynnong, 'Asia's Cleanest Village'.","Walk on the living root bridge in the nearby village of Riwai. Climb a bamboo watchtower for views of Bangladesh.","Drive to Dawki and enjoy the view of the clear Umngot River."
"","","","","","","","","6","Enjoy an early morning boat ride on the Umngot river.","Travel back to Guwahati (approx. 5-6 hours).","Departure from Guwahati (GAU) airport."
"Ladakh - High Altitude Adventure","6","Adventure","Nature","Photography","Culture","","Ladakh","1","Fly into Leh. Complete rest for acclimatization.","Stay hydrated and take it easy. Do not exert yourself.","Take a short walk to Leh Market."
"","","","","","","","","2","Leh local sightseeing: Visit Leh Palace, Shanti Stupa for panoramic views.","Visit Hall of Fame museum and Spituk Monastery.","Relax and further acclimatize."
"","","","","","","","","3","Travel to Nubra Valley via Khardung La, one of the world's highest motorable passes.","Visit the Diskit Monastery and see the Maitreya Buddha statue.","Enjoy a double-humped Bactrian camel safari in the Hunder sand dunes."
"","","","","","","","","4","Explore Nubra. Optional visit to Turtuk village.","Travel back to Leh.","Rest in Leh."
"","","","","","","","","5","Day trip to Pangong Tso (lake). The journey is long and scenic.","Marvel at the stunning blue brackish lake. See the '3 Idiots' movie spot.","Travel back to Leh. (Note: an overnight stay at Pangong is better but requires an extra day)."
"","","","","","","","","6","Visit the monasteries of the 'Indus Valley Circuit': Hemis, Thiksey, and Shey.","Shop for souvenirs in Leh market.","Departure from Leh (IXL) airport."
